Roles,Sex,Full name,Used name,NOC,Athlete ID,Affiliations,Birth Date,Death Date,Height cm,Weight kg,Birth City,Birth Region,Birth Country
Competed in Olympic Games,Male,Christophe Legoût,Christophe Legoût,France,27,"Levallois SC, Levallois-Perret (FRA) / Istres Sports, Istres (FRA)",1973,,177.0,75.0,Montbéliard,Doubs,FRA
Competed in Olympic Games   Competed in Olympic Games (non-medal events),Male,Guy Lejeune,"Guy, Baron Lejeune",France,28,,,,,,,,
Competed in Olympic Games,Male,Albert Lippmann,Albert Lippmann,France,29,"unattached, (MIX)",,,,,,,
Competed in Olympic Games,Male,Édouard Marie Marc Mény de Marangue,Édouard Mény de Marangue,France,30,,1882,1960,,,Paris VIe,Paris,FRA
Competed in Olympic Games,Male,André Adrien Hippolyte Prévost,André Prévost,France,31,"Tennis Club de Puteaux, Puteaux (FRA)",1875,1951,,,Paris VIIIe,Paris,FRA
Competed in Olympic Games,Male,Guillaume Raoux,Guillaume Raoux,France,32,"Racing Club de France, Paris (FRA)",1970,,180.0,77.0,Bagnols-sur-Cèze,Gard,FRA
Competed in Olympic Games,Male,Stéphane Renault,Stéphane Renault,France,33,HBC,1968,,180.0,72.0,Barfleur,Manche,FRA
Competed in Olympic Games   Non-starter,Male,Jean-Pierre Samazeuilh,Jean-Pierre Samazeuilh,France,34,,1891,1965,,,Bordeaux,Gironde,FRA
Competed in Olympic Games,Male,Fabrice Vetea Santoro,Fabrice Santoro,France,35,,1972,,177.0,68.0,Tahiti,Îles du Vent,FPN
Competed in Olympic Games   Administrator,Male,Étienne Thobois,Étienne Thobois,France,36,"Lille UC, Lille (FRA)",1967,,186.0,78.0,Amiens,Somme,FRA
Competed in Olympic Games,Male,Philippe-Edmond Pierre Verdé-Delisle,Pierre Verdé-Delisle,France,37,,1877,1960,,,Trie-la-Ville,Oise,FRA
Competed in Olympic Games,Female,Frances Helen Aitchison (-Leisk),Helen Aitchison,Great Britain,38,,1881,1947,,,Sunderland,England,GBR
Competed in Olympic Games,Female,Winifred Geraldine Beamish (Ramsey-),Geraldine Beamish,Great Britain,39,"Queen's Club, London (GBR)",1883,1972,,,Forest Gate,England,GBR
Competed in Olympic Games,Female,Penelope Dora Harvey Boothby (-Geen),Dora Boothby,Great Britain,40,,1881,1970,,,Finchley,England,GBR
Competed in Olympic Games,Female,Julie Jane Bradbury,Julie Bradbury,Great Britain,41,,1967,,175.0,64.0,Oxford,England,GBR
Competed in Olympic Games,Female,Gillian Margaret Clark,Gillian Clark,Great Britain,42,Wimbledon,1961,,176.0,68.0,Baghdad,Baghdad,IRQ
Competed in Olympic Games,Female,Mildred Coles (-Davis),Mildred Coles,Great Britain,43,,1876,1937,,,Cranbrook,England,GBR
Competed in Olympic Games,Female,Evelyn Lucy Colyer (-Munro),Evelyn Colyer,Great Britain,44,,1902,1930,,,Wandsworth,England,GBR
Competed in Olympic Games   Non-starter,Female,Charlotte Reinagle Cooper (-Sterry),Charlotte Cooper,Great Britain,45,"Chiswick Park Lawn Tennis Club, Chiswick (GBR)",1870,1966,,,Ealing,England,GBR
Competed in Olympic Games,Female,Phyllis Lindrea Covell (Howkins-),Phyllis Covell,Great Britain,46,,1895,1982,,,Paddington,England,GBR
Competed in Olympic Games,Female,Gladys Shirley Eastlake-Smith (-Lamplough),Gladys Eastlake-Smith,Great Britain,47,,1883,1941,,,Lewisham,England,GBR
Competed in Olympic Games,Female,Sara Louise Gomer (-Palombo),Sara Gomer,Great Britain,48,Riverside,1964,,190.0,85.0,Torquay,England,GBR
Competed in Olympic Games,Female,Alison Helen Gordon (-Broe),Alison Gordon,Great Britain,49,,1962,,175.0,68.0,Reading,England,GBR
Competed in Olympic Games,Female,Gillian Carol Gowers,Gillian Gowers,Great Britain,50,Gosling,1964,,157.0,55.0,Horfield,"Clifton, England",GBR
Competed in Olympic Games,Female,Alice Norah Gertrude Greene,Alice Greene,Great Britain,51,,1879,1956,,,Upton,England,GBR
Competed in Olympic Games,Female,Edith Margaret Hannam (Boucher-),Edith Hannam,Great Britain,52,,1878,1951,,,Bristol,England,GBR
Competed in Olympic Games,Female,Edith Dorothy Holman,Dorothy Holman,Great Britain,53,,1883,1968,,,Kilburn,England,GBR
Competed in Olympic Games,Female,Andrea Mary Holt,Andrea Holt,Great Britain,54,NFD Grove,1970,,168.0,64.0,Radcliffe,England,GBR
Competed in Olympic Games,Female,Monique Alicia Javer (-Dias),Monique Javer,Great Britain,55,,1967,,177.0,64.0,Burlingame,California,USA
Competed in Olympic Games,Female,Valda Lake,Valda Lake,Great Britain,56,,1968,,173.0,61.0,Torquay,England,GBR
Competed in Olympic Games,Female,Dorothea Katherine Lambert Chambers (Douglass-),Dorothy Lambert Chambers,Great Britain,57,,1878,1960,,,Ealing,England,GBR
Competed in Olympic Games,Female,Lisa Jane Lomas (Bellinger-),Lisa Lomas,Great Britain,58,Molndais BTK,1967,,168.0,63.0,Dunstable,England,GBR
Competed in Olympic Games,Female,Kathleen McKane (-Godfree),Kitty McKane,Great Britain,59,,1896,1992,,,Bayswater,England,GBR
Competed in Olympic Games,Female,Winifred Margaret McNair (Slocock-),Winifred McNair,Great Britain,60,,1877,1954,,,Donnington,England,GBR
Competed in Olympic Games,Female,Kelly Ann Morgan (-Aston),Kelly Morgan,Great Britain,61,,1975,,178.0,65.0,Pontypridd,Wales,GBR
Competed in Olympic Games,Female,Agnes Mary Morton (-Stewart),Agatha Morton,Great Britain,62,,1872,1952,,,Halstead,England,GBR
Competed in Olympic Games,Female,Joanne Muggeridge,Jo Muggeridge,Great Britain,63,Wimbledon,1969,,157.0,59.0,London,England,GBR
Competed in Olympic Games,Female,"Mabel Bramwell Parton (Squire-, -Mavrogordato)",Mabel Parton,Great Britain,64,,1881,1962,,,London,England,GBR
Competed in Olympic Games,Female,Violet Millicent Pinckney,Violet Pinckney,Great Britain,65,,1871,1955,,,Alderbury,England,GBR
Competed in Olympic Games,Female,Sara Louise Sankey (Halsall-),Sara Sankey,Great Britain,66,"Churchtown BC, Churchtown, Merseyside (GBR)",1967,,170.0,68.0,Southport,England,GBR
Competed in Olympic Games,Female,Phyllis Helen Satterthwaite (Carr-),Phyllis Satterthwaite,Great Britain,67,,1886,1962,,,Kensington,England,GBR
Competed in Olympic Games,Female,Dorothy Cunliffe Shepherd-Barron,Dorothy Shepherd-Barron,Great Britain,68,,1897,1953,,,Beighton,England,GBR
Competed in Olympic Games,Female,Samantha Smith,Sam Smith,Great Britain,69,,1971,,175.0,62.0,Epping,England,GBR
Competed in Olympic Games,Female,Helen Suzanne Troke (-Alcock),Helen Troke,Great Britain,70,Lanz SC/Bitterne LC,1964,,172.0,63.0,Southampton,England,GBR
Competed in Olympic Games,Female,Ruth Isabel Winch (Legh-),Ruth Winch,Great Britain,71,,1870,1952,,,Ryde,England,GBR
Competed in Olympic Games,Female,Clare Jacqueline Wood,Clare Wood,Great Britain,72,Southdown Lawn Tennis Club,1968,,175.0,65.0,Zululand,KwaZulu-Natal,RSA
Competed in Olympic Games,Female,Joanne Gwendoline Wright-Goode,Joanne Wright-Goode,Great Britain,73,Lancashire,1972,,171.0,68.0,Harlow,England,GBR
Competed in Olympic Games,Male,Skylet Andrew,Sky Andrew,Great Britain,74,"Fellows Cranleigh TTC, Barking (GBR)",1962,,185.0,78.0,Newham,England,GBR
Competed in Olympic Games,Male,Simon David Archer,Simon Archer,Great Britain,75,Wimbledon,1973,,189.0,86.0,Leamington Spa,England,GBR
Competed in Olympic Games,Male,Herbert Roper Barrett,Roper Barrett,Great Britain,76,,1873,1943,,,Upton,England,GBR
Competed in Olympic Games,Male,Michael Jeremy Bates,Jeremy Bates,Great Britain,77,"Solihull Arden Club, Solihull (GBR)",1962,,180.0,72.0,Solihull,England,GBR
Competed in Olympic Games,Male,Alfred Ernest Beamish,Alfred Beamish,Great Britain,78,"Queen's Club, London (GBR)",1879,1944,,,Richmond,England,GBR
Competed in Olympic Games,Male,John Mary Pius Boland,John Pius Boland,Great Britain,79,"University of Oxford, Oxford (GBR)",1870,1958,,,Dublin,Dublin,IRL
Competed in Olympic Games,Male,Neil Broad,Neil Broad,Great Britain,80,,1966,,191.0,87.0,Cape Town,Western Cape,RSA
Competed in Olympic Games,Male,George Aristides Caridia (Karidias-),George Caridia,Great Britain,81,,1869,1937,,,Kolkata (Calcutta),West Bengal,IND
Competed in Olympic Games,Male,Andrew Nicholas Castle,Andrew Castle,Great Britain,82,"Queen's Club, London (GBR)",1963,,190.0,74.0,Epsom,England,GBR
Competed in Olympic Games,Male,Clement Haughton Langston Cazalet,Clement Cazalet,Great Britain,83,,1869,1950,,,St. James's,England,GBR
Competed in Olympic Games,Male,Xinhua Chen,Xinhua Chen,Great Britain,84,,1960,,175.0,71.0,Fuan,Fujian,CHN
Competed in Olympic Games,Male,Alan Cooke,Alan Cooke,Great Britain,85,"Falkenbergs BTK, Falkenberg (SWE)",1966,,170.0,64.0,Clay Cross,England,GBR
Competed in Olympic Games,Male,Walter Cecil Crawley,Walter Crawley,Great Britain,86,,1880,1940,,,Masham,England,GBR
Competed in Olympic Games,Male,Charles Percy Dixon,Charles Dixon,Great Britain,87,,1873,1939,,,Grantham,England,GBR
Competed in Olympic Games   Non-starter,Male,Hugh Lawrence Doherty,Laurie Doherty,Great Britain,88,"All England Lawn Tennis and Croquet Club, Wimbledon (GBR)",1875,1919,178.0,,Wimbledon,England,GBR
Competed in Olympic Games,Male,Reginald Frank Doherty,Reggie Doherty,Great Britain,89,"All England Lawn Tennis and Croquet Club, Wimbledon (GBR)",1872,1910,,,Wimbledon,England,GBR
Competed in Olympic Games,Male,Desmond Douglas,Desmond Douglas,Great Britain,90,Bathwick Tyres,1955,,175.0,66.0,Kingston,Kingston,JAM
Competed in Olympic Games,Male,Wilberforce Vaughan Eaves,Wilberforce Eaves,Great Britain,91,,1867,1920,,,Melbourne,Victoria,AUS
Competed in Olympic Games,Male,Lionel Hunter Escombe,Lionel Escombe,Great Britain,92,,1876,1914,,,Natal,KwaZulu-Natal,RSA
Competed in Olympic Games,Female,Anne Gibson (Robertson-),Anne Gibson,Great Britain,93,,1968,,173.0,70.0,Dumfries,Scotland,GBR
Competed in Olympic Games,Male,John Brian Gilbert,Brian Gilbert,Great Britain,94,,1887,1974,,,Barnes,England,GBR
Competed in Olympic Games,Male,Leslie Allison Godfree,Leslie Godfree,Great Britain,95,,1885,1971,,,Brighton,England,GBR
Competed in Olympic Games,Male,Andrew Brian Goode,Andy Goode,Great Britain,96,,1960,,183.0,83.0,Welwyn Garden City,England,GBR
Competed in Olympic Games,Male,Arthur William Charles Gore,Arthur Wentworth Gore,Great Britain,97,,1868,1928,,,Lyndhurst,England,GBR
Competed in Olympic Games   Competed in Olympic Games (non-medal events),Male,Darren James Hall,Darren Hall,Great Britain,98,,1965,,183.0,73.0,Walthamstow,England,GBR
Competed in Olympic Games,Male,Timothy Henry Henman,Tim Henman,Great Britain,99,,1974,,185.0,77.0,Oxford,England,GBR
Competed in Olympic Games,Male,George Whiteside Hillyard,George Hillyard,Great Britain,100,,1864,1943,,,Hanwell,England,GBR
Competed in Olympic Games,Male,Christopher John Hunt,Chris Hunt,Great Britain,101,Wimbledon,1968,,182.0,88.0,Bolton,England,GBR
Competed in Olympic Games,Male,Algernon Robert Fitzhardinge Kingscote,Algernon Kingscote,Great Britain,102,,1888,1964,,,Bengaluru (Bangalore),Karnataka,IND
Competed in Olympic Games,Male,Peter Knowles,Peter Knowles,Great Britain,103,,1969,,177.0,77.0,Stockport,England,GBR
Competed in Olympic Games,Male,Arthur Holden Lowe,Arthur Lowe,Great Britain,104,,1886,1958,,,Edgbaston,"Birmingham, England",GBR
Competed in Olympic Games,Male,Francis Gordon Lowe,Gordon Lowe,Great Britain,105,,1884,1972,,,Edgbaston,"Birmingham, England",GBR
Competed in Olympic Games,Male,Harold Segerson Mahony,Harold Mahony,Great Britain,106,"Fitzwilliam Lawn Tennis Club, Dublin (IRL)",1867,1905,191.0,,Edinburgh,Scotland,GBR
Competed in Olympic Games,Male,Theodore Michel Mavrogordato,Theodore Mavrogordato,Great Britain,107,,1883,1941,,,City of London,England,GBR
Competed in Olympic Games,Male,Anders Ward Nielsen,Anders Nielsen,Great Britain,108,Wimbledon,1967,2010,173.0,70.0,Cape Town,Western Cape,RSA
Competed in Olympic Games,Male,Arthur B. J. Norris,Arthur Norris,Great Britain,109,"Queen's Club, London (GBR)",,,,,,,
Competed in Olympic Games,Male,James Cecil Parke,James Parke,Great Britain,110,,1881,1946,,,Clones,Monaghan,IRL
Competed in Olympic Games,Male,Nicholas James Ponting,Nick Ponting,Great Britain,111,,1966,,173.0,76.0,London,England,GBR
Competed in Olympic Games,Male,Carl Lustig Prean,Carl Prean,Great Britain,112,"Saarbrücken, GER",1967,,185.0,79.0,Newport,England,GBR
Competed in Olympic Games,Male,Major Josiah George Ritchie,Josiah Ritchie,Great Britain,113,,1870,1955,,,Westminster,England,GBR
Competed in Olympic Games,Male,Julian Anthony Robertson,Julian Robertson,Great Britain,114,,1969,,182.0,73.0,Peterborough,England,GBR
Competed in Olympic Games,Male,Gregory Rusedski,Greg Rusedski,Great Britain,115,,1973,,190.0,88.0,Montréal,Québec,CAN
Competed in Olympic Games,Male,George Mieville Simond,George Simond,Great Britain,116,,1867,1941,,,Marylebone,England,GBR
Competed in Olympic Games,Male,Matthew Philip Syed,Matthew Syed,Great Britain,117,,1970,,175.0,70.0,Bromley,England,GBR
Competed in Olympic Games,Male,Oswald Graham Noel Turnbull,Noel Turnbull,Great Britain,118,,1890,1970,,,Highgate,England,GBR
Competed in Olympic Games,Male,Archibald Adam Warden,Archibald Warden,France,119,"Island Tennis Club, Paris (FRA)",1869,1943,,,Edinburgh,Scotland,GBR
Competed in Olympic Games,Male,John David Patrick Wheatley,Patrick Wheatley,Great Britain,120,,1899,1967,,,Vryheid,KwaZulu-Natal,RSA
Competed in Olympic Games,Male,Christopher Wilkinson,Chris Wilkinson,Great Britain,121,,1970,,180.0,72.0,Southampton,England,GBR
Competed in Olympic Games,Male,Maxwell Woosnam,Max Woosnam,Great Britain,122,,1892,1965,,,Liverpool,England,GBR
Competed in Olympic Games,Male,David Wright,Dave Wright,Great Britain,123,Abbeydale,1965,,175.0,77.0,Killamarsh,England,GBR
Competed in Olympic Games   Competed in Olympic Games (non-medal events),Female,Stefanie Maria Graf,Steffi Graf,Germany West Germany,124,"TC Brühl, Brühl (GER)",1969,,175.0,59.0,Mannheim,Baden-Württemberg,GER
Competed in Olympic Games,Female,Sylvia Hanika (-Holder),Sylvia Hanika,West Germany,125,,1959,,173.0,64.0,Ottendichl,Bayern,GER
Competed in Olympic Games,Female,Anke Huber,Anke Huber,Germany,126,"HTC, Heidelberg (GER)",1974,,173.0,58.0,Bruchsal,Baden-Württemberg,GER
Competed in Olympic Games,Female,Claudia Gertrud Kohde-Kilsch (-Lehmann),Claudia Kohde-Kilsch,West Germany,127,"Rot-Weiß Berlin, Berlin (GER)",1963,,184.0,68.0,Saarbrücken,Saarland,GER
Competed in Olympic Games,Female,Dorothea Köring,Dora Köring,Germany,128,Akademischer SV Dresden,1880,1945,,,Chemnitz,Sachsen,GER
Competed in Olympic Games,Female,Olga Nemes,Olga Nemes,Germany West Germany,129,"TSG Dülmen, Dülmen (GER)",1968,,163.0,53.0,Târgu Mureș,Mureș,ROU
Competed in Olympic Games,Female,Katja Nolten,Katja Nolten,West Germany,130,"TuS Jahn Soest, Soest (GER)",1970,,175.0,66.0,Heinsberg,Nordrhein-Westfalen,GER
Competed in Olympic Games,Female,Barbara Rittner (-Diehl-),Barbara Rittner,Germany,131,"RTHC Bayer Leverkusen, Leverkusen (GER)",1973,,173.0,65.0,Krefeld,Nordrhein-Westfalen,GER
Competed in Olympic Games,Female,Elke Schall-Wosik (-Süß),Elke Schall-Wosik,Germany,132,TSG Dülmen / Bayer Uerdingen / SV Winterwerb / TV Busenbach,1973,,180.0,68.0,Speyer,Rheinland-Pfalz,GER
Competed in Olympic Games,Female,Katrin Schmidt,Katrin Schmidt,Germany,133,"TuS Wiebelskirchen, Neunkirchen (GER)",1967,,180.0,80.0,Langenhagen,Niedersachsen,GER
Competed in Olympic Games,Female,Jie Schöpp (Shi-),Jie Schöpp,Germany,134,"Budapest, HUN",1968,,174.0,63.0,Baoding,Hebei,CHN
Competed in Olympic Games,Female,Karen Stechmann (-Neumann),Karen Stechmann,Germany,135,"FC Langenfeld, Langenfeld (GER)",1971,,169.0,59.0,Stade,Niedersachsen,GER
Competed in Olympic Games,Female,Nicole Sandra Struse,Nicole Struse,Germany,136,"Spvg Steinhagen, Steinhagen (GER) / TSG Dülmen, Dülmen (GER) / FSV Kroppach, Kroppach (GER)",1971,,170.0,62.0,Haan,Nordrhein-Westfalen,GER
Competed in Olympic Games,Female,Kerstin Ubben,Kerstin Ubben,Germany,137,"FC Langenfeld, Langenfeld (GER)",1968,,165.0,59.0,Hamburg,Hamburg,GER
Competed in Olympic Games,Male,Boris Franz Becker,Boris Becker,Germany,138,"TK Grün-Weiß Mannheim, Mannheim (GER)",1967,,192.0,85.0,Leimen,Baden-Württemberg,GER
Competed in Olympic Games,Male,Zsolt-Georg Böhm,Georg Böhm,West Germany,139,"TTC Grenzau, Höhr-Grenzhausen (GER)",1962,,174.0,73.0,Sălacea,Bihor,ROU
Competed in Olympic Games,Male,Steffen Fetzner,Steffen Fetzner,Germany West Germany,140,"Borussia Düsseldorf, Düsseldorf (GER)",1968,,170.0,60.0,Karlsruhe,Baden-Württemberg,GER
Competed in Olympic Games,Male,Peter Franz,Peter Franz,Germany,141,"TTF Ochsenhausen, Ochsenhausen (GER)",1971,,186.0,74.0,Stolzenau,Niedersachsen,GER
Competed in Olympic Games,Male,Stefan Frey,Stefan Frey,Germany,142,"TV Mainz-Zahlbach, Mainz (GER)",1959,,178.0,82.0,Worms,Rheinland-Pfalz,GER
Competed in Olympic Games   Non-starter,Male,Otto Froitzheim,Otto Froitzheim,Germany,143,"Rot-Weiß Berlin, Berlin (GER)",1884,1962,,,Strasbourg,Bas-Rhin,FRA
Competed in Olympic Games,Male,Marc-Kevin Goellner,Marc-Kevin Goellner,Germany,144,"Blau-Weiß Neuss, Neuss (GER)",1970,,196.0,85.0,Rio de Janeiro,Rio de Janeiro,BRA
Competed in Olympic Games,Male,"Hugo James Hardy, Jr.",Hugo Hardy,Germany,145,"Anglo-American Club, Berlin (GER)",1877,1936,,,Harvestehude,Hamburg,GER
Competed in Olympic Games,Male,Michael Helber,Michael Helber,Germany,146,"PSV Grün-Weiß Wiesbaden, Wiesbaden (GER)",1970,,185.0,72.0,Bochum,Nordrhein-Westfalen,GER
Competed in Olympic Games,Male,Luis Maria Heyden,Luis Maria Heyden,Germany,147,"Harvestehuder THC, Hamburg (GER)",1893,1951,,,Eimsbüttel,Hamburg,GER
Competed in Olympic Games,Male,Eric Jelen,Eric Jelen,West Germany,148,Blau-Weiß Neuss,1965,,184.0,77.0,Trier,Rheinland-Pfalz,GER
Competed in Olympic Games,Male,Michael Keck,Michael Keck,Germany,149,"1. BC Bischmisheim, Saarbrücken (GER)",1969,,186.0,78.0,Fürth,Bayern,GER
Competed in Olympic Games,Male,Ernst Oskar Kreuzer,Oskar Kreuzer,Germany,150,"SC Frankfurt 1880, Frankfurt am Main (GER)",1887,1968,,,Frankfurt am Main,Hessen,GER
Competed in Olympic Games,Male,Stephan Kuhl,Stephan Kuhl,Germany,151,"BSC Eintracht Südring, Berlin (GER)",1968,,180.0,79.0,Köln (Cologne),Nordrhein-Westfalen,GER
Competed in Olympic Games,Male,Paul Anton Maria Lindpaintner d'Almeida,Paul Lindpaintner,Germany,152,"Rot-Weiß Berlin, Berlin (GER)",1883,1969,,,München (Munich),Bayern,GER
Competed in Olympic Games,Male,Oliver Pongratz,Oliver Pongratz,Germany,153,"FC Langenfeld, Langenfeld (GER)",1973,,182.0,71.0,Mindelheim,Bayern,GER
Competed in Olympic Games,Male,David Prinosil,David Prinosil,Germany,154,"TC Amberg am Schanzl, Amberg (GER)",1973,,184.0,79.0,Olomouc,Olomoucký kraj,CZE
Competed in Olympic Games,Male,Friedrich-Wilhelm Rahe,Friedrich-Wilhelm Rahe,Germany,155,"Rostocker LTC, Rostock (GER)",1888,1949,,,Rostock,Mecklenburg-Vorpommern,GER
Competed in Olympic Games,Male,Jürgen Rebel,Jürgen Rebel,West Germany,156,"ATSV Saarbrücken, Saarbrücken (GER)",1963,,174.0,78.0,Darmstadt,Hessen,GER
Competed in Olympic Games,Male,Jörg Roßkopf,Jörg Roßkopf,Germany West Germany,157,"Borussia Düsseldorf, Düsseldorf (GER) / TTV Gönnern, Angelburg (GER)",1969,,182.0,72.0,Dieburg,Hessen,GER
Competed in Olympic Games,Male,Heinrich Georg Schomburgk,Heinrich Schomburgk,Germany,158,"Leipziger SC, Leipzig (GER)",1885,1965,,,Connewitz,"Leipzig, Sachsen",GER
Competed in Olympic Games,Male,Robert Cleon Spies,Robert Spies,Germany,159,"Akademischer SV Dresden, Bremer Tennisverein 1896",1891,1982,,,Moskva (Moscow),Moskva,RUS
Competed in Olympic Games,Male,Carl-Uwe Steeb,Carl-Uwe Steeb,Germany West Germany,160,"TEC Waldau, Stuttgart (GER)",1967,,180.0,74.0,Aalen,Baden-Württemberg,GER
Competed in Olympic Games,Male,Michael Detlef Stich,Michael Stich,Germany,161,"MTTC Iphitos, München (GER)",1968,,192.0,79.0,Pinneberg,Schleswig-Holstein,GER
Competed in Olympic Games,Male,Friedrich Adolf Traun,Fritz Traun,Germany,162,"Germania Hamburg, Hamburg (GER)",1876,1908,,,Wandsbek,Hamburg,GER
Competed in Olympic Games,Male,Alexander Moritz Reinhold von Bissing,Fritz von Bissing,Germany,163,"SC Frankfurt 1880, Frankfurt am Main (GER)",1886,1954,,,Metz,Moselle,FRA
Competed in Olympic Games,Male,Ernst Gebhard Georg Otto von Müller,Otto von Müller,Germany,164,"Rot-Weiß Berlin, Berlin (GER)",1875,1976,,,Jülich,Nordrhein-Westfalen,GER
Competed in Olympic Games,Female,Helen Amankwah,Helen Amankwah,Ghana,165,,1964,,,,,,
Competed in Olympic Games,Female,Patricia Akosua Offel,Patricia Offel,Ghana,166,,1971,,,120.0,,,
Competed in Olympic Games,Female,Patience Abena Opokua,Patience Opokua,Ghana,167,,1969,,,,,,
Competed in Olympic Games,Male,Winifred Addy,Winifred Addy,Ghana,168,,1973,,,,,,
Competed in Olympic Games,Female,Christina Papadaki,Christina Papadaki,Greece,169,"Athens Lawn Tennis Club, Athina (GRE)",1973,,173.0,55.0,Athina (Athens),Attiki,GRE
Competed in Olympic Games,Female,Olga Tsarmpopoulou,Olga Tsarmpopoulou,Greece,170,,1968,,170.0,58.0,,,
Competed in Olympic Games,Female,Lena Valaoritou (-Skaramagna),Lena Valaoritou,Greece,171,,1897,1967,,,Athina (Athens),Attiki,GRE
Competed in Olympic Games,Female,Christina Zachariadou,Christina Zachariadou,Greece,172,"Athens Lawn Tennis Club, Athina (GRE)",1974,,163.0,57.0,Athina (Athens),Attiki,GRE
Competed in Olympic Games,Male,Aristidis Akratopoulos,Aristidis Akratopoulos,Greece,173,"Panellinios GS, Athina (GRE)",,,,,,,
